pi;type_pi;group_pi;unit;is_nedra;correct;balance;ИС Недра
известняк мраморизованный (строительные камни);неметаллы;строительные материалы;;Горнотехническое сырье;известняк;;
известняк мраморизованный доломитизированный;неметаллы;строительные материалы;тыс.куб.м;Горнотехническое сырье;известняк;;
известняк слабодоломитизированный;неметаллы;строительные материалы;тыс.куб.м;Горнотехническое сырье;известняк;;
известняк флюсовый;неметаллы;Горно-техническое сырье;тыс.т;Горнотехническое сырье;известняк;;
известняк чистый;неметаллы;строительные материалы;;Горнотехническое сырье;известняк;;
известняк чистый (карбонатное сырье для инертной пыли);неметаллы;строительные материалы;;Горнотехническое сырье;известняк;;
известняк чистый (карбонатное сырье для химической промышленности);неметаллы;строительные материалы;;Горнотехническое сырье;известняк химсырье;Карбонатное сырье для химической промышленности;
ильменит;металлы;металлы;тыс.т;Цветные металлы;ильменит;Титан;Цветные металлы
индий;металлы;Рассеянные элементы;т;Рассеянные элементы;индий;Рассеянные элементы;Рассеянные элементы
иридий;металлы;Благородные металлы;кг;Благородные металлы;иридий;Платиноиды;Благородные металлы
исландский шпат;неметаллы;горно-техническое сырье;кг;Горнотехническое сырье;;Пьезооптическое сырье;
итербий;металлы;Редкие металлы;тыс.т;Редкие металлы;иттербий;Редкоземельные металлы;Редкие металлы
иттербий;металлы;Редкие металлы;тыс.т;Редкие металлы;иттербий;Редкоземельные металлы;Редкие металлы
иттрий;металлы;Редкие металлы;тыс.т;Редкие металлы;иттрий;Редкоземельные металлы;Редкие металлы
кадмий;металлы;металлы;т;Цветные металлы;кадмий;Кадмий;Цветные металлы
калийные соли ;неметаллы;Горно-химическое сырье;тыс.т;;;;
кальцит;неметаллы;горно-техническое сырье;кг;Горнотехническое сырье;;Пьезооптическое сырье;
кальцит оптический;неметаллы;горно-техническое сырье;кг;Горнотехническое сырье;;Пьезооптическое сырье;
кальцит оптический (оптическое сырье);неметаллы;горно-техническое сырье;кг;Горнотехническое сырье;;Пьезооптическое сырье;
кальцифир (строительные камни);неметаллы;строительные материалы;;;;;
каменный уголь;уголь;твердое горючее;тыс.т;Твердые горючие полезные ископаемые;уголь каменный;Уголь;Твердые горючие полезные ископаемые
камень гипсовый;неметаллы;строительные материалы;;;;;
камень облицовочный;неметаллы;строительные материалы;;;;;
камни облицовочные;неметаллы;строительные материалы;тыс.куб.м;;;;
камни поделочные;неметаллы;поделочные камни;т;;;;
камни точильные;неметаллы;Горно-техническое сырье;тыс.куб.м;;;;
каолин;неметаллы;глина;тыс.т;;;;
каолин (керамика тонкая);неметаллы;глина;;;;;
карбонатит;неметаллы;строительные материалы;тыс.т;;;;
карбонатит кальцитовый;неметаллы;строительные материалы;;;;;
карбонатит кальцитовый (карбонатное сырье для извести);неметаллы;строительные материалы;тыс.куб.м;;;;
карбонатит стронций-бариевый (для металлургии);неметаллы;Горно-техническое сырье;;;;;
карбонатное сырье для извести;неметаллы;строительные материалы;тыс.куб.м;;;;
карбонатные породы;неметаллы;строительные материалы;тыс.т;;;;
карбонатные породы (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
кварц;неметаллы;кварц и кварцит;тыс.т;;;;
кварц (горный хрусталь);неметаллы;кварц и кварцит;кг;;;;
кварц (керамика тонкая);неметаллы;кварц и кварцит;т;;;;
кварц (керамич. сырье);неметаллы;строительные материалы;;;;;
кварц гранулированный;неметаллы;кварц и кварцит;кг;;;;
кварц жильный;неметаллы;кварц и кварцит;кг;;;;
кварц керамический;неметаллы;кварц и кварцит;;;;;
кварц оптический;неметаллы;кварц и кварцит;кг;;;;
кварц пылевидный;неметаллы;кварц и кварцит;кг;;;;
кварц пьезооптический;неметаллы;кварц и кварцит;кг;;;;
кварц пьезоэлектрический;неметаллы;кварц и кварцит;кг;;;;
кварц стекольный;неметаллы;строительные материалы;кг;;;;
кварцевое сырье;неметаллы;кварц и кварцит;тыс.т;;;;
кварцевые порфиры;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;порфирит;Строительные камни;
кварцевый диорит;неметаллы;строительные материалы;;;;;
кварцит;неметаллы;кварц и кварцит;кг;;кварцит;;
кварцит (абразивы);неметаллы;Горно-техническое сырье;кг;;кварцит;;
кварцит (для металлургии);неметаллы;кварц и кварцит;кг;;кварцит;;
кварцит (для производства ферросплавов);неметаллы;кварц и кварцит;т;;кварцит;;
кварцит (кварцсодержащее металлургическое сырье);неметаллы;кварц и кварцит;т;;кварцит;;
кварцит (огнеупорные материалы);неметаллы;кварц и кварцит;т;;кварцит;;
кварцит (строительные камни);неметаллы;строительные материалы;т;;кварцит;;
кварцит абразивный;неметаллы;Горно-техническое сырье;;;кварцит;;
кварцит вторичн. абразивный;неметаллы;кварц и кварцит;т;;кварцит;;
кварцит вторичный;неметаллы;Горно-техническое сырье;т;;кварцит;;
кварцит вторичный (абразивы);неметаллы;Горно-техническое сырье;т;;кварцит;;
керамзитовое сырье;неметаллы;глина;;;;;
кианит;неметаллы;поделочные камни;;;;;
кислые интрузивные породы;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;;Камни природные облицовочные;
кислые эффузивные породы;неметаллы;строительные материалы;тыс.куб.м;;;;
кобальт;металлы;металлы;т;Цветные металлы;кобальт;Кобальт;Цветные металлы
коллекционные материалы;неметаллы;поделочные камни;;;;;
конгломерат;неметаллы;строительные материалы;тыс.куб.м;;песчано-гравийные смеси;Минерально-строительное сырье;
конгломерат (строительное сырье);неметаллы;строительные материалы;тыс.куб.м;;песчано-гравийные смеси;Минерально-строительное сырье;
кордиерит;неметаллы;поделочные камни;т;;;;
корунд;неметаллы;Горно-техническое сырье;тыс.т;Горно-техническое сырье;корунд;Абразивы;Горно-техническое сырье
корунд и наждак;неметаллы;Горно-техническое сырье;тыс.т;Горно-техническое сырье;корунд и наждак;Абразивы;Горно-техническое сырье
кремень;неметаллы;Горно-техническое сырье;тыс.т;Горно-техническое сырье;кремень;Абразивы;Горно-техническое сырье
кремень (ювелирно-поделочные камни);неметаллы;поделочные камни;;;;;
кристаллический известняк;неметаллы;строительные материалы;тыс.куб.м;Горнотехническое сырье;;;
ксенотим;неметаллы;поделочные камни;тыс.т;;;;
лазурит;неметаллы;поделочные камни;кг;;лазурит;Цветные камни;Драгоценные и поделочные камни
лазурит (ювелирное сырье);неметаллы;поделочные камни;кг;;лазурит;Цветные камни;Драгоценные и поделочные камни
лазурит (ювелирно-поделочные камни);неметаллы;поделочные камни;кг;;лазурит;Цветные камни;Драгоценные и поделочные камни
лампрофир;неметаллы;строительные материалы;;;;;
лантан;металлы;Редкие металлы;тыс.т;Редкие металлы;лантан;Редкоземельные металлы;Редкие металлы
липарит;неметаллы;строительные материалы;тыс.куб.м;;;;
литий;металлы;Редкие металлы;тыс.т;Редкие металлы;литий;Литий;Редкие металлы
магматические породы;неметаллы;строительные материалы;тыс.куб.м;;;;
магнезит;неметаллы;строительные материалы;тыс.т;Горнотехническое сырье;магнезит;Магнезит;
магнезит (огнеупорные материалы);неметаллы;строительные материалы;тыс.т;Горнотехническое сырье;магнезит;Магнезит;
магнезит кристаллический (огнеупорные материалы);неметаллы;строительные материалы;тыс.т;Горнотехническое сырье;магнезит;Магнезит;
магнезит оталькованный (огнеупорные материалы);неметаллы;строительные материалы;тыс.т;Горнотехническое сырье;магнезит;Магнезит;
магний;металлы;металлы;;;;;
марганцевые руды;металлы;металлы;тыс.т;Черные металлы;марганцевые руды;Марганцевые руды;Черные металлы
медистые песчанники;металлы;металлы;;;;;
медь;металлы;металлы;тыс.т;Цветные металлы;медь;Медь ;Цветные металлы
мергель;неметаллы;строительные материалы;тыс.куб.м;;;;
металлы платиновой группы;благородные;Благородные металлы;кг;;;;
метаморфические породы;неметаллы;строительные материалы;;;;;
метаморфические породы (щебень);неметаллы;строительные материалы;тыс.куб.м;;;;
метапорфирит;неметаллы;строительные материалы;;Минерально-строительное сырье;порфирит;Строительные камни;
метапорфириты;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;порфирит;Строительные камни;
метасоматиты (облицовочные);неметаллы;строительные материалы;;;;Камни природные облицовочные;
мигматит;неметаллы;строительные материалы;;;;;
мигматит (балластное сырье);неметаллы;строительные материалы;;;;;
мигматит (балластное сырье, строительные камни);неметаллы;строительные материалы;;;;;
микроклин;неметаллы;строительные материалы;т;;;;
микроклин (полевошпатовое сырье);неметаллы;горно-техническое сырье;т;Горнотехническое сырье;;Полевошпатовое сырье;
минеральные краски;неметаллы;краски;;Минерально-строительное сырье;краски;Минеральные краски;
мирабилит;неметаллы;Горно-химическое сырье;тыс.т;;;;
молибден;металлы;металлы;т;Цветные металлы;молибден;Молибден;Цветные металлы
монацит;неметаллы;поделочные камни;т;;;;
морион;неметаллы;поделочные камни;;;морион;Цветные камни;Драгоценные и поделочные камни
мрамор;неметаллы;строительные материалы;;;;;
мрамор (известняки);неметаллы;строительные материалы;тыс.куб.м;Горнотехническое сырье;известняк;;
мрамор (облицовочные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
мрамор (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
мрамор (флюсы);неметаллы;строительные материалы;;;;;
мрамор (флюсы, цем. сырье - карбонат. компоненты);неметаллы;строительные материалы;;Минерально-строительное сырье;цемент;Цементное сырье;
мрамор (цем. сырье - карбонат. компоненты);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;цемент;Цементное сырье;
мрамор (цементное сырье);неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;цемент;Цементное сырье;
мрамор (щебень);неметаллы;строительные материалы;тыс.куб.м;;;;
мрамор доломитовый;неметаллы;строительные материалы;тыс.куб.м;;;;
мрамор доломитовый (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
мрамор кальцитовый;неметаллы;строительные материалы;;;;;
мрамор кальцитовый (цем. сырье - карбонат. компоненты);неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;цемент;Цементное сырье;
мрамор розовый;неметаллы;строительные материалы;;;;;
мрамор розовый (облицовочные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
мраморный оникс;неметаллы;поделочные камни;т;;;;
мумие;неметаллы;Горно-техническое сырье;кг;;;;
мумия;неметаллы;краски;тыс.т;Минерально-строительное сырье;мумия;Минеральные краски;
мумия (краски);неметаллы;краски;;Минерально-строительное сырье;мумия;Минеральные краски;
мусковит;неметаллы;Горно-техническое сырье;т;;;;
мусковит заб. сырец;неметаллы;Горно-техническое сырье;т;;;;
мусковит заб. сырец м/зерн.;неметаллы;Горно-техническое сырье;т;;;;
мусковит заб. сырец мелкозернистый;неметаллы;Горно-техническое сырье;т;;;;
мусковит заб. сырец микрозернистый;неметаллы;Горно-техническое сырье;т;;;;
мусковит заб.сырец листовой;неметаллы;Горно-техническое сырье;т;;;;
мусковит забойный сырец;неметаллы;Горно-техническое сырье;т;;;;
мусковит листовой забойный сырец;неметаллы;Горно-техническое сырье;т;;;;
мусковит мелкоразмерный забойный сырец;неметаллы;Горно-техническое сырье;т;;;;
мышьяк;металлы;металлы;т;Цветные металлы;мышьяк;Мышьяк;Цветные металлы
нефелин;металлы;металлы;млн.т;;;;
нефрит;неметаллы;поделочные камни;т;;нефрит;Цветные камни;Драгоценные и поделочные камни
никель;металлы;металлы;тыс.т;Цветные металлы;никель;Никель;Цветные металлы
ниобий;металлы;Редкие металлы;тыс.т;Редкие металлы;ниобий;Ниобий;Редкие металлы
облицовочный камень;неметаллы;строительные материалы;тыс.куб.м;;;;
облицовочный материал;неметаллы;строительные материалы;тыс.куб.м;;;;
оксид калия;металлы;Горно-химическое сырье;;Горно-химическое сырье;оксид калия;Соли калийные;Горно-химическое сырье
олово;металлы;металлы;т;Цветные металлы;олово;Олово;Цветные металлы
олово россыпное;металлы;металлы;т;Цветные металлы;олово россыпное;Олово;Цветные металлы
оникс;неметаллы;поделочные камни;т;;оникс;Цветные камни;Драгоценные и поделочные камни
оникс мраморный;неметаллы;поделочные камни;т;;оникс мраморный;Цветные камни;Драгоценные и поделочные камни
оптический кальцит;неметаллы;горно-техническое сырье;кг;Горнотехническое сырье;;Пьезооптическое сырье;
оптический флюорит;неметаллы;горно-техническое сырье;кг;Горнотехническое сырье;;Пьезооптическое сырье;
осмий;металлы;Благородные металлы;кг;Благородные металлы;осмий;Платиноиды;Благородные металлы
основные  эффузивные породы;неметаллы;строительные материалы;;;;;
офикальцит;неметаллы;поделочные камни;тыс.т;;офиокальцит;Цветные камни;Драгоценные и поделочные камни
офиокальцит;неметаллы;поделочные камни;тыс.т;;офиокальцит;Цветные камни;Драгоценные и поделочные камни
офиокальцит (облицовочные камни);неметаллы;строительные материалы;т;Минерально-строительное сырье;офиокальцит;Камни природные облицовочные;Минерально-строительное сырье
офиокальцит (облицовочные камни, поделочные камни);неметаллы;строительные материалы;т;;;;Драгоценные и поделочные камни
офиокальцит (облицовочные камни, ювелирно-поделочные камни);неметаллы;строительные материалы;т;;;;Драгоценные и поделочные камни
офиокальцит (поделочные камни);неметаллы;строительные материалы;т;;офиокальцит;Цветные камни;Драгоценные и поделочные камни
офиокальцит (ювелирно-поделочное сырье);неметаллы;строительные материалы;т;;офиокальцит;Цветные камни;Драгоценные и поделочные камни
офиокальцит (ювелирно-поделочные камни);неметаллы;строительные материалы;т;;офиокальцит;Цветные камни;Драгоценные и поделочные камни
охра;неметаллы;краски;тыс.т;Минерально-строительное сырье;охра;Минеральные краски;
охра (краски);неметаллы;краски;тыс.т;Минерально-строительное сырье;охра;Минеральные краски;
охра, мумия;неметаллы;краски;;Минерально-строительное сырье;охра;Минеральные краски;
палладий;металлы;Благородные металлы;кг;Благородные металлы;палладий;Платиноиды;Благородные металлы
пегматит;неметаллы;строительные материалы;тыс.куб.м;;пегматит;;
пегматит (керамика тонкая);неметаллы;строительные материалы;тыс.куб.м;;пегматит;;
пегматит (полевошпатовое сырье);неметаллы;горно-техническое сырье;;Горнотехническое сырье;полевой шпат;Полевошпатовое сырье;
пегматит гранитный;неметаллы;строительные материалы;;;пегматит;;
пегматит графический;неметаллы;поделочные камни;;;пегматит графический;Цветные камни;Драгоценные и поделочные камни
пегматит керамический;неметаллы;строительные материалы;;Горно-техническое сырье;пегматит;Строительные камни;
пегматит микроклиновый;неметаллы;горно-техническое сырье;тыс.т;Горно-техническое сырье;полевой шпат;Полевошпатовое сырье;
пегматит микроклиновый (полевошпатовое сырье);неметаллы;горно-техническое сырье;т;Горно-техническое сырье;полевой шпат;Полевошпатовое сырье;
перлит;неметаллы;строительные материалы;;;;;
перовскит;металлы;металлы;;;;;
пески кварцевые;неметаллы;Горно-техническое сырье;тыс.т;;;;
пески керамические;неметаллы;строительные материалы;тыс.куб.м;;;;
пески стекольные;неметаллы;строительные материалы;тыс.т;;;;
пески строительные;неметаллы;строительные материалы;;;;;
пески формовочные;неметаллы;строительные материалы;тыс.т;;;;
песок;неметаллы;строительные материалы;тыс.т;;;;
песок ( строительные растворы);неметаллы;строительные материалы;;;;;
песок (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
песок (для песочниц локомотивов);неметаллы;строительные материалы;тыс.куб.м;;;;
песок (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;песок;Кирпично-черепичное сырье;
песок (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
песок (наполнители бетона, строительные растворы);неметаллы;строительные материалы;;;;;
песок (огнеупорные материалы);неметаллы;строительные материалы;тыс.куб.м;;;;
песок (отсев);неметаллы;строительные материалы;тыс.куб.м;;;;
песок (отсев) (балластное сырье);неметаллы;строительные материалы;;;;;
песок (отсев) (балластное сырье, наполнители бетона);неметаллы;строительные материалы;;;;;
песок (отсев) (балластное сырье, строительное сырье);неметаллы;строительные материалы;;;;;
песок (отсев) (дорожное строительство, наполнители бетона);неметаллы;строительные материалы;;;;;
песок (отсев) (дорожное строительство, наполнители бетона, строительные материалы);неметаллы;строительные материалы;;;;;
песок (отсев) (дорожное строительство, строительные растворы);неметаллы;строительные материалы;;;;;
песок (отсев) (наполнители бетона);неметаллы;строительные материалы;;;;;
песок (отсев) (наполнители бетона, строительные камни);неметаллы;строительные материалы;;;;;
песок (отсев) (наполнители бетона, строительные растворы);неметаллы;строительные материалы;;;;;
песок (отсев) (строительное сырье);неметаллы;строительные материалы;;;;;
песок (отсев) (строительные материалы);неметаллы;строительные материалы;;;;;
песок (отсев) (строительные материалы, наполнители бетона);неметаллы;строительные материалы;;;;;
песок (отсев) (строительные растворы);неметаллы;строительные материалы;;;;;
песок (природный) (строительные растворы);неметаллы;строительные материалы;;;;;
песок (силикатное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
песок (силикатные изделия);неметаллы;строительные материалы;тыс.куб.м;;;;
песок (силикатные изделия, строительные растворы);неметаллы;строительные материалы;;;;;
песок (стекольное сырье кварцсодержащее);неметаллы;строительные материалы;;;;;
песок (стекольное сырье кварцсодержащее, формовочные материалы);неметаллы;строительные материалы;;;;;
песок (стекольное сырье);неметаллы;строительные материалы;тыс.т;;;;
песок (строительное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
песок (строительные материалы);неметаллы;строительные материалы;;;;;
песок (строительные раствор;неметаллы;строительные материалы;;;;;
песок (строительные растворы);неметаллы;строительные материалы;тыс.куб.м;;;;
песок (формовочные материалы);неметаллы;строительные материалы;тыс.т;;;;
песок (цем. сырье - корректир. добавки);неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;цемент;Цементное сырье;
песок глинистый;неметаллы;строительные материалы;;;;;
песок глинистый (силикатное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
песок глинистый (силикатные изделия);неметаллы;строительные материалы;;;;;
песок дроблёный (наполнители бетона);неметаллы;строительные материалы;;;;;
песок кварцевый;неметаллы;строительные материалы;;;;;
песок кварцевый (карбонатное сырье для химической промышленности);неметаллы;строительные материалы;;;;;
песок кварцевый (силикатное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
песок кварцевый (силикатные изделия);неметаллы;строительные материалы;;;;;
песок кварцевый (стекольное сырье кварцсодержащее);неметаллы;строительные материалы;;;;;
песок кварцевый (стекольное сырье кварцсодержащее, формовочные материалы);неметаллы;строительные материалы;;;;;
песок кварцевый (стекольное сырье);неметаллы;строительные материалы;тыс.т;;;;
песок кварцевый (формовочные материалы);неметаллы;строительные материалы;тыс.т;;;;
песок керамический;неметаллы;строительные материалы;;;;;
песок мелкозернистый;неметаллы;строительные материалы;тыс.куб.м;;;;
песок стекольный;неметаллы;строительные материалы;тыс.т;;;;
песок строительный;неметаллы;строительные материалы;тыс.куб.м;;;;
песок строительный (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
песок тонкозернистый (наполнители бетона, строительные растворы);неметаллы;строительные материалы;;;;;
песок формовочный;неметаллы;строительные материалы;тыс.т;;;;
песок элювиальный;неметаллы;строительные материалы;;;;;
песчаник;неметаллы;строительные материалы;;;;;
песчаник (абразивы);неметаллы;Горно-техническое сырье;тыс.т;;;;
песчаник (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
песчаник (силикатные изделия);неметаллы;строительные материалы;;;;;
песчаник (строительное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
песчаник (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;;;
песчаник (строительные материалы);неметаллы;строительные материалы;тыс.куб.м;;;;
песчаник кварцевый;неметаллы;строительные материалы;тыс.куб.м;;;;
песчаник кварцитовидный;неметаллы;строительные материалы;;;кварцит;;
песчаник мелкозернистый (строительные материалы);неметаллы;строительные материалы;;;;;
песчано-гравийная смесь;неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийно-валунные отложения;неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийно-валунный материал;неметаллы;строительные материалы;;;;;
песчано-гравийно-валунный материал (для отсыпки дорог);неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийно-валунный материал (строительное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийные отложения;неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийный материал;неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийный материал (асфальтовые растворы);неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийный материал (балластное сырье;неметаллы;строительные материалы;;;;;
песчано-гравийный материал (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийный материал (балластное сырье, наполнители бетона);неметаллы;строительные материалы;;;;;
песчано-гравийный материал (балластное сырье, наполнители бетона, строительные камни);неметаллы;строительные материалы;;;;;
песчано-гравийный материал (балластное сырье, наполнители бетона, строительные растворы);неметаллы;строительные материалы;;;;;
песчано-гравийный материал (дорожное строительство);неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийный материал (дорожное строительство, наполнители бетона);неметаллы;строительные материалы;;;;;
песчано-гравийный материал (дорожное строительство, строительные растворы);неметаллы;строительные материалы;;;;;
песчано-гравийный материал (наполнители бетона;неметаллы;строительные материалы;;;;;
песчано-гравийный материал (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийный материал (наполнители бетона, строительные камни);неметаллы;строительные материалы;;;;;
песчано-гравийный материал (наполнители бетона, строительные растворы);неметаллы;строительные материалы;;;;;
песчано-гравийный материал (строительное сырье);неметаллы;строительные материалы;тыс.куб.м;;;;
песчано-гравийный материал (строительные материалы);неметаллы;строительные материалы;;;;;
песчано-гравийный материал (строительные материалы, наполнители бетона);неметаллы;строительные материалы;;;;;
песчано-гравийный материал гравий-отсев (наполнители бетона);неметаллы;строительные материалы;;;;;
петровскит;металлы;металлы;;;;;
пирит;неметаллы;Горно-химическое сырье;;Горно-химическое сырье;пирит;;
пироп;неметаллы;поделочные камни;;;;;
пирротин;металлы;металлы;;;железные руды;;
плавиковый шпат;неметаллы;Горно-химическое сырье;тыс.т;;плавиковый шпат;;
плавиковый шпат (флюорит);неметаллы;Горно-химическое сырье;тыс.т;Горнохимическое сырье;плавиковый шпат;Плавиковый шпат;
плавиковый шпат (флюорит) (флюсы);неметаллы;Горно-химическое сырье;тыс.т;Горнохимическое сырье;плавиковый шпат;Плавиковый шпат;
платиноиды;благородные;Благородные металлы;кг;Благородные металлы;платина;Платиноиды;Благородные металлы
платина;благородные;Благородные металлы;кг;Благородные металлы;платина;Платиноиды;Благородные металлы
поделочная окаменелая древесина;неметаллы;поделочные камни;;;поделочная окаменелая древесина;;
поделочные камни;неметаллы;поделочные камни;т;;поделочные камни;;
полевой шпат;неметаллы;горно-техническое сырье;тыс.т;Горно-техническое сырье;полевой шпат;Полевошпатовое сырье;
полевой шпат (полевошпатовое сырье);неметаллы;горно-техническое сырье;;Горно-техническое сырье;полевой шпат;Полевошпатовое сырье;
полевошпатовое сырье;неметаллы;горно-техническое сырье;;Горно-техническое сырье;полевой шпат;Полевошпатовое сырье;
полировочные и точильные камни;неметаллы;Горно-техническое сырье;;;полировочные и точильные камни;;
порфир;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;порфирит;Строительные камни;
порфир кварцевый;неметаллы;строительные материалы;;Минерально-строительное сырье;порфирит;Строительные камни;
порфирит;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;порфирит;Строительные камни;
порфирит андезибазальтовый;неметаллы;строительные материалы;;Минерально-строительное сырье;порфирит;Строительные камни;
порфирит андезитобазальтовый;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;порфирит;Строительные камни;
порфирит андезитовый;неметаллы;строительные материалы;;Минерально-строительное сырье;порфирит;Строительные камни;
порфирит дацитовый;неметаллы;строительные материалы;;Минерально-строительное сырье;порфирит;Строительные камни;
порфирит диоритовый;неметаллы;строительные материалы;;Минерально-строительное сырье;порфирит;Строительные камни;
пьезоэлектрическое сырье;неметаллы;кварц и кварцит;;;пьезоэлектрическое сырье;;
ракушка кормовая;неметаллы;Горно-химическое сырье;тыс.т;;ракушка кормовая;;
редкие земли;металлы;Редкие металлы;тыс.т;Редкие металлы;редкоземельные металлы;Редкоземельные металлы;Редкие металлы
редкие земли (цериевая группа);металлы;Редкие металлы;тыс.т;Редкие металлы;редкоземельные металлы;Редкоземельные металлы;Редкие металлы
редкие металлы;металлы;Редкие металлы;тыс.т;;редкие металлы;;
редкоземельные металлы;металлы;Редкие металлы;тыс.т;Редкие металлы;редкоземельные металлы;Редкоземельные металлы;Редкие металлы
рений;металлы;Рассеянные элементы;;Рассеянные элементы;рений;Рассеянные элементы;Рассеянные элементы
роговик;неметаллы;строительные материалы;тыс.куб.м;;роговик;;
родий;металлы;Благородные металлы;кг;Благородные металлы;родий;Платиноиды;Благородные металлы
родонит;неметаллы;поделочные камни;;;родонит;Цветные камни;Драгоценные и поделочные камни
розовый кварц;неметаллы;кварц и кварцит;;;розовый кварц;;
ртуть;металлы;металлы;т;Цветные металлы;ртуть;Ртуть;Цветные металлы
рубеллит;неметаллы;поделочные камни;кг;;рубеллит;;
рубидий;металлы;Рассеянные элементы;тыс.т;Рассеянные элементы;рубидий;Рассеянные элементы;Рассеянные элементы
рубин;неметаллы;поделочные камни;кг;;рубин;Цветные камни;Драгоценные и поделочные камни
рутений;металлы;Благородные металлы;кг;Благородные металлы;рутений;Платиноиды;Благородные металлы
сапропелит;уголь;твердое горючее;тыс.куб.м;Твердые горючие полезные ископаемые;сапропелит;Сапропелит;Твердые горючие полезные ископаемые
сапропель;неметаллы;Горно-химическое сырье;тыс.куб.м;Горно-химическое сырье;сапропель;Сапропели;Горно-химическое сырье
свинец;металлы;металлы;тыс.т;Цветные металлы;свинец;Свинец;Цветные металлы
селен;неметаллы;рассеянные элементы;;Рассеянные элементы;селен;Рассеянные элементы;Рассеянные элементы
сера;металлы;металлы;тыс.т;;сера;;
сера пиритная;металлы;металлы;тыс.т;Горно-химическое сырье;сера;Сера в комплексных рудных месторождениях;
сера сульфидная;металлы;металлы;тыс.т;;сера;;
сердолик;неметаллы;поделочные камни;;;сердолик;Цветные камни;Драгоценные и поделочные камни
серебро;благородные;Благородные металлы;т;Благородные металлы;серебро;Серебро;Благородные металлы
сернокислый натрий;неметаллы;Горно-химическое сырье;;;сернокислый натрий;;
серпентин;неметаллы;поделочные камни;т, тыс.куб.м;;серпентинит;Змеевик (серпентин);Драгоценные и поделочные камни
